duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,status_a12,status_a13,status_a14,credit_history_a31,credit_history_a32,credit_history_a33,credit_history_a34,purpose_a41,purpose_a410,purpose_a42,purpose_a43,purpose_a44,purpose_a45,purpose_a46,purpose_a48,purpose_a49,savings_a62,savings_a63,savings_a64,savings_a65,employment_a72,employment_a73,employment_a74,employment_a75,personal_status_a92,personal_status_a93,personal_status_a94,other_debtors_a102,other_debtors_a103,property_a122,property_a123,property_a124,other_installments_a142,other_installments_a143,housing_a152,housing_a153,job_a172,job_a173,job_a174,telephone_a192,foreign_worker_a202,class,unique_str
9,66c78293e1267ce706149d4ab86b2056,4,2,22,1,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,0,32808717f39a0c2d8a18f16f9489313a466bd94e01755c672f40cddf9ad18f56cb5bdd8c1b5add23c272c8bec34ddadc
24,e226e9b21f228f9766c5978dd2e397be,4,4,55,1,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,d554e241da1e9cd28d3c17170e0b6a3123c1534bee2bfe95f7ef9656edb0dfabe877941b3297c72421c763ea405e7a8a
10,e88edca5931460c4e216a3861aebdfed,3,2,31,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,0,17e28d44096da88588c96257e2a7b008c327f333fa321b08b099b7be67a8bb93348c7b5e185020e7fe54c1af74716645
12,6433a7f0294da5cc9d0285ecbec27f42,4,1,26,1,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0,5e8a3688c79f0d290814ffd4d948028ba5ba061fb4ad57b8f3a81def3b417e8d2612995c0dca124969c462fcb0113829
12,8d605369e65fea8fe8e1c4972ea17b39,3,2,25,1,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,be7ed34f1af619ec52308dd5c7b53ed8b4d39af569342663ff6041112fa97326529cfeead3dff1406ee044f33d5376b7
12,f260f6bd9d30afe19efc385734c974c3,4,4,37,1,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,0,c54edd667051e86c74ba515c333b188fe3858613b3582f8c3a7df4ba640763188b177931d48438a65a4c686a7396dfd3
18,4cb22193369edb1ef9a1a1206cc32208,3,3,28,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1,6c5291f3c03b1e142bef2fa8a38767164e45f2b7c3ea692d7c1ac159f5a6b2c04ac6cc599adb8056813d0d6a0de118af
18,29702b9f3eecc7f42785dbadab44568e,4,4,43,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,a406300819f5731cf18e590215845b7e0c48ce76bac72cf4175e3e81ad9a3cd2799b74a59cbd4b2b54608437375f79ed
6,13f88e4e032c55728ff4d4f5a9adec98,2,1,29,1,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0,0fe12817016a2bad8ea376b21e7027084c5690a41551043e36e91d36f4da09731c867b820cdf7a3002f30d1173a6eefa
16,ed2cce67b4b816d50016f669d48d903f,2,3,68,3,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,0,96df6e6adda50c1bf58ac060c8b3ee04e24182bb9d5ea24626aafc734d7e52c6e7fa66f44a05211e87cc08349ed44dc6
48,ac14af6516f35a776043511c3029980d,2,2,23,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,1,25b092f63103abdcaade3cb37527afd6f8518e44a41cf9e5e5b59962f100f776e4e122da3de3f04f48cadf8c8ce74755
6,5af3945e4bf88e609f2144b11ba4f5ea,2,4,45,1,2,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0,14eb026db290ab680b656e4a21cf2a2cb9d2af7a322849cbf16595ff2d68b5dfa856fdc661729bf02b005448f4d2a915
24,4cb54e74018a033acbf525cf72e00bb0,4,3,27,2,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,0,fd6f75c5c948d86f89bc2efadf4312934cac315550f5b37d5424a83ccf0b378ff72632b2469f5fe3d7b78294e535b4ba
18,b758338c493a6686be2ef8653a7d56e6,3,1,31,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,1,51f6f2e3142166ae8715e41af5d97a1935d95bc2922e7d23078bf00c66edad5513d3a6020c626abcaddb8869d5f63c16
18,d031f77e059301fc29f6c41fa4a08385,3,3,36,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,739f24ef0299dd24fe06c4a94ed1f6b5f7f86ad4f5b317ba8624c779ad008aeba57a6d0cbd17b7584169fd86ba053199
24,cca9babaff8f726ce545c7a597e559c3,2,3,29,2,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,1,e5c8395f06d64a66d8b29a964b6b053497ab18f06e610975d655b63458f7dcbc2697e0a05f4926cafea8b4272265201e
30,214c163da5b33737dbd23059349467fa,4,2,33,1,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,0,b3fe07cbe1452f51df1081d9ea13afc2d424258cce68883ca38840ea61be2c245395cd3f4c7233b1e386271cdb20da4d
54,9760304a004e9b48ee3b3c976d958a7c,2,2,39,1,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,0,4579547500dd8e91660c0f11b1d1527704ccb44ff728694019c19b96b93870b702ea6a619525d595bc2b5031920196e6
20,166f2b2cda2f555f54033f2810d5f7b3,1,4,24,2,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,0,63ca22404d4af27414a23f75f045c272ff66b04668fc3c5d0c6c20d67509403d34880164bfcb53a6086050ffd70ef1e3
18,344d8664ca7fed83fae2b92369a19c4d,2,2,31,2,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0,5fd0668370c160f370db584960e1a655a927bb7f2cb4b1ea9c60d3a3acde4b94351c50b5e658237f9678e09b5a7dc60d
24,615e958602b0c77a4cf3a02d97750eda,4,2,25,2,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,fea096290dde5bf257d9e3ee74ecb3a6a0db92d23fd10b3d7da06648bd573d92f4cf49dccf7027cc78c78a5cc2c93d7d
21,0552f190b0d1f26768f7f6201973f6c3,1,4,36,1,1,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,0,70d072800418b50460fc2c723942f92a12d9d8a45009c8f1532bd5f1da93111cb00310d59e4c0065eed728507380e4c6
18,ac9bff6bbe92e1fc566edf8a916a9498,2,2,26,2,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,e3d77ad14d032c8f9ce0efe593fffb39ffbe658065b771b8ccf1fa5878fc245bf6aea8dc8f069d36409c705929a2f5b7
18,12091d029c961048947fa1265cfbd668,2,4,23,2,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0,d6483c62531e52fd6f2a7358b460cc3bfe65a47bd1f22b19e116dc76d76d981aba6ec6241c1dbdfdf3dda06b82c3b773
36,b09a9bcf0977b3d40c0e6772e61aeb96,2,2,45,2,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,0,bad4bf4e3f7e4899a4fc9d4da1eee4fe426be02dfc2da36085b1a18b390e28ee0f83bf0c66fed6e5572a555a83c1c409
10,6be284aff3cbb4b56e90f0bb2a9598aa,1,3,48,2,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,0,548d2a3172f11d2171af5fa5fd9d1227694796264c09e6806a7e1aa46b03b9b0565bfbb8c4ee2887a25944ae3e599f9e
12,2efb9b369c1bc7630bcc8cf26143b413,4,2,29,2,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,0,91e5f6e7f774276e6e3605e5270ec6638f46fdd13cfb57db39375dc370617b254793cc294562e717d780edc0980e0d60
12,1388b855c8fd1f465600a82b8969947d,3,2,24,1,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,a31789d82e9716111b31eb20f0dfb86f8b900395d05705f6a8bd7841e396c05797b5efdcf622c8dca0248da17ddd30b1
48,aede4b6bb5f02293408b589b2fcd0ee2,2,2,44,1,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,1,99e7faa3eaaba020361ea562d517bd52c9e43b2e5c1a953a8611367ba0ef5c86576c61112916e357b684315e26039525
24,95c9b4a3f323ecce8f0b9f6987d6d953,4,2,27,2,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,0,b89c4182b427e9e73911945172bdc57be25fb3e22e2a7220c466662c208ba370119d502f1db97bf19c78c52f52c3203f
11,2e36b6652d648c156fb151ec02233b81,4,4,40,2,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,dca93e62983c9de20abc88bb446fa07f0777dacf901bab1df313e4360173800d18abd8bae9783f350285661a0015acf0
18,0ba11a182ae506cd326084e09bd97d78,4,2,32,1,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,0,d25ac1645cdef7a636103b9f065bc19ff27dbddc16c5b12ceb23dd6d90929f46836d993421d62d533ddf7b5e757326a2
36,881c66b5c24d1d59b220862b8ea2947c,4,2,28,1,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,7f35fb6bd4aa1e9b3263bd3745e1cd4333d3daff55deb6a9bc20c70a47e9248796c2638608a2572981e40cd0fd48c628
5,a9e05c54b4d9d39b674e5eaf59fa6315,1,4,74,1,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,0,86d4481d53c943745e71ed47eb2306ae0fee8c8999cd788d5b75e9b2151607bedf9ad3950891f5cce30a0fd2e55e7e60
18,3e82494ac2bd414ef832b3ea3b7d54f2,4,2,24,2,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,113be704d4e81712310f18aa1145cc23c893198b64044ce2b36b17d99b9fc5534f6a4bf58296210bfe669402bcbabdd9
12,ac670b432f51a345997b651cd06a2549,4,4,61,2,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,0,312d61509da55e5e70fb2c70a586f08e66fec64981b90d1dabc097501eb526aacf6b4c41477310e5906710ca5b2d5248
30,2caccbffbf958cf30a6204a30637b26c,1,4,63,2,1,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0,4a15188a546ccb608467210f15ddc3a02faeab6d95d0af9f31bc9cfb58e1309daa059a1f6452b65f3ff405b18b16a51f
11,d2eae8459fc33e76bd288ad001af7023,4,4,57,3,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,0,502db5cbd1abae7c4ffb51993b204c5cd13317dc938bdf7eb6ce3360a7bf4e4432e2440a7402acaf915564533507cdf8
12,f046c8ebcfa6ba1fcb0b10e282d6cbfd,4,2,42,2,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,0,66f48d7902928c5e50203fe3ed0fd31de2e16151b28d61080095190841ef13351d79991810c32a6abedb46ab0dd1a7b2
15,29baadb04402521d7e8db32f155bfb6e,4,1,46,1,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,0,536dd65478168b867a7bde4cd9264256d0fdb714f1a30a123d5b6d4e2e4aa79a8528172f11712cbb2f46a61950d1c02a
